FBgn0053882	FBtr0091886	His2B:CG33882	21502798	21503392	-1	2L	21502798	21503392
FBgn0035648	FBtr0113148	CG13288	5907381	5917540	1	3L	5907381	5917540
FBgn0035648	FBtr0331563	CG13288	5907381	5909895	1	3L	5907381	5917540
FBgn0032726	FBtr0342927	CG10621	18952206	18954431	-1	2L	18952206	18954431
FBgn0032726	FBtr0342926	CG10621	18952206	18954431	-1	2L	18952206	18954431
FBgn0032726	FBtr0081191	CG10621	18952206	18954431	-1	2L	18952206	18954431
FBgn0034948	FBtr0072204	PPP1R15	23975599	23977255	-1	2R	23975599	23977255
FBgn0036842	FBtr0075037	Ugt316A1	19059772	19062816	-1	3L	19059400	19062816
FBgn0036842	FBtr0332648	Ugt316A1	19059400	19062816	-1	3L	19059400	19062816
FBgn0029656	FBtr0070536	CG10793	3314744	3316402	-1	X	3314744	3316402
FBgn0039558	FBtr0085269	BCAS2	27921283	27922356	-1	3R	27921283	27922356
FBgn0025814	FBtr0077243	Mgstl	21043070	21044107	1	X	21042125	21044107
FBgn0025814	FBtr0077242	Mgstl	21042485	21044107	1	X	21042125	21044107
FBgn0025814	FBtr0345919	Mgstl	21042125	21044107	1	X	21042125	21044107
FBgn0035235	FBtr0072826	CG7879	1559813	1568608	-1	3L	1559813	1568608
FBgn0035235	FBtr0072827	CG7879	1559813	1568608	-1	3L	1559813	1568608
FBgn0030509	FBtr0073811	CG11162	13676894	13677882	1	X	13676894	13677882
FBgn0011894	FBtr0086188	tRNA:Lys-CTT-1-8	6948284	6948356	-1	2R	6948284	6948356
FBgn0037022	FBtr0078276	CG11396	20786340	20788137	-1	3L	20786340	20788137
FBgn0046114	FBtr0084336	Gclm	22685300	22686510	-1	3R	22685006	22686510
FBgn0046114	FBtr0334605	Gclm	22685006	22686510	-1	3R	22685006	22686510
FBgn0045474	FBtr0078281	Gr77a	20737569	20739430	-1	3L	20737569	20739430
FBgn0050103	FBtr0086929	CG30103	17493695	17495998	1	2R	17493695	17495998
FBgn0013323	FBtr0346650	Ptth	575711	576896	-1	2L	575711	576896
FBgn0013323	FBtr0346726	Ptth	575711	576550	-1	2L	575711	576896
FBgn0013323	FBtr0333746	Ptth	575711	576550	-1	2L	575711	576896
FBgn0039495	FBtr0085114	CG5909	27161158	27162911	1	3R	27161158	27162911
FBgn0267422	FBtr0346749	CR45775	3340824	3341546	1	Y	3340824	3341546
FBgn0023213	FBtr0089243	eIF4G1	915297	930715	-1	4	915297	930715
FBgn0023213	FBtr0289951	eIF4G1	915297	930715	-1	4	915297	930715
FBgn0023213	FBtr0112904	eIF4G1	915297	930715	-1	4	915297	930715
FBgn0022986	FBtr0339537	qkr58E-1	22413147	22415518	-1	2R	22412556	22415518
FBgn0022986	FBtr0071843	qkr58E-1	22412917	22415518	-1	2R	22412556	22415518
FBgn0022986	FBtr0346637	qkr58E-1	22412556	22415518	-1	2R	22412556	22415518
FBgn0035270	FBtr0332881	CG13933	1771809	1775147	-1	3L	1771809	1775147
FBgn0035270	FBtr0072792	CG13933	1771809	1775147	-1	3L	1771809	1775147
FBgn0028369	FBtr0309500	kirre	2740384	3132791	1	X	2740384	3134532
FBgn0028369	FBtr0309501	kirre	2740805	3134532	1	X	2740384	3134532
FBgn0028369	FBtr0070559	kirre	2740805	3132791	1	X	2740384	3134532
FBgn0028369	FBtr0309499	kirre	3099582	3132791	1	X	2740384	3134532
FBgn0028369	FBtr0070560	kirre	3128639	3132791	1	X	2740384	3134532
FBgn0028369	FBtr0309498	kirre	3099550	3132791	1	X	2740384	3134532
FBgn0028369	FBtr0332492	kirre	2989051	3132791	1	X	2740384	3134532
FBgn0267348	FBtr0076382	LanB2	9614914	9623980	1	3L	9614914	9623980
FBgn0267348	FBtr0345031	LanB2	9615960	9623980	1	3L	9614914	9623980
FBgn0267892	FBtr0347452	CR46180	3203881	3204640	-1	Y	3203881	3204640
FBgn0263582	FBtr0309807	lncRNA:CR43607	20437264	20438701	-1	2L	20437264	20438701
FBgn0263582	FBtr0309808	lncRNA:CR43607	20437264	20437761	-1	2L	20437264	20438701
FBgn0010407	FBtr0079978	Ror	10251843	10254686	1	2L	10251843	10254686
FBgn0038078	FBtr0082663	CG14391	12694229	12694842	-1	3R	12694229	12694842
FBgn0038099	FBtr0300278	CG7091	12978000	12980535	1	3R	12978000	12980535
FBgn0053260	FBtr0302436	CG33260	14760520	14761844	-1	3L	14760520	14761844
FBgn0037338	FBtr0078688	Snm1	5555084	5557786	1	3R	5555084	5557786
FBgn0037299	FBtr0305002	Vps37B	5226158	5227526	1	3R	5226158	5227526
FBgn0037299	FBtr0305001	Vps37B	5226158	5227526	1	3R	5226158	5227526
FBgn0037299	FBtr0078777	Vps37B	5226158	5227526	1	3R	5226158	5227526
FBgn0086605	FBtr0078949	CG9853	4398558	4400009	-1	3R	4398381	4402027
FBgn0086605	FBtr0344215	CG9853	4398381	4400009	-1	3R	4398381	4402027
FBgn0086605	FBtr0113192	CG9853	4398558	4402027	-1	3R	4398381	4402027
FBgn0085213	FBtr0112377	CG34184	14365656	14366658	1	2R	14365656	14366658
FBgn0263606	FBtr0112440	Hsc20	16233127	16234165	1	3L	16233127	16234165
FBgn0260224	FBtr0300624	CG42498	26057347	26058223	-1	3R	26057347	26058223
FBgn0020258	FBtr0080638	ppk	14378218	14381172	-1	2L	14378218	14381172
FBgn0262616	FBtr0305347	CR43142	6972243	6972796	1	2L	6972243	6972796
FBgn0033981	FBtr0087456	Cyp6a21	14885264	14886947	-1	2R	14885264	14886947
FBgn0267541	FBtr0346935	lncRNA:CR45881	11666319	11667079	1	3L	11666319	11667079
FBgn0026086	FBtr0339274	Adar	1773725	1781160	1	X	1773725	1788065
FBgn0026086	FBtr0070300	Adar	1773725	1788065	1	X	1773725	1788065
FBgn0026086	FBtr0309965	Adar	1773725	1781182	1	X	1773725	1788065
FBgn0026086	FBtr0339272	Adar	1773725	1788065	1	X	1773725	1788065
FBgn0026086	FBtr0339273	Adar	1773725	1781160	1	X	1773725	1788065
FBgn0026086	FBtr0305499	Adar	1773725	1788065	1	X	1773725	1788065
FBgn0026086	FBtr0309963	Adar	1773725	1781182	1	X	1773725	1788065
FBgn0026086	FBtr0307895	Adar	1773725	1784001	1	X	1773725	1788065
FBgn0026086	FBtr0070299	Adar	1773725	1784001	1	X	1773725	1788065
FBgn0026086	FBtr0309961	Adar	1774527	1784001	1	X	1773725	1788065
FBgn0026086	FBtr0100557	Adar	1773725	1784001	1	X	1773725	1788065
FBgn0026086	FBtr0305498	Adar	1773725	1784001	1	X	1773725	1788065
FBgn0026086	FBtr0305497	Adar	1773725	1781200	1	X	1773725	1788065
FBgn0026086	FBtr0309962	Adar	1773725	1781160	1	X	1773725	1788065
FBgn0030244	FBtr0339835	CG2157	10869284	10870705	1	X	10869284	10870705
FBgn0030244	FBtr0073382	CG2157	10869284	10870672	1	X	10869284	10870705
FBgn0039544	FBtr0100446	CG12877	27707100	27710857	1	3R	27707100	27710857
FBgn0265817	FBtr0342649	lncRNA:CR44606	20947135	20948170	-1	2L	20947135	20948170
FBgn0029885	FBtr0070992	CG3224	6660552	6661462	-1	X	6660552	6661462
FBgn0041723	FBtr0089855	rho-5	10368025	10373900	-1	2L	10368025	10373900
FBgn0266224	FBtr0343886	lncRNA:CR44919	21866854	21868020	-1	2L	21866854	21868020
FBgn0032066	FBtr0340230	LManIII	8765273	8768710	-1	2L	8765273	8768710
FBgn0032066	FBtr0079744	LManIII	8765361	8768710	-1	2L	8765273	8768710
FBgn0022709	FBtr0076017	Adk1	12200394	12203935	-1	3L	12200322	12204082
FBgn0022709	FBtr0076018	Adk1	12200322	12204082	-1	3L	12200322	12204082
FBgn0267450	FBtr0346803	asRNA:CR45800	20325529	20326260	1	3R	20325529	20326260
FBgn0011890	FBtr0086007	tRNA:Lys-CTT-1-5	6171496	6171568	-1	2R	6171496	6171568
FBgn0037676	FBtr0301210	CG8861	9293642	9328511	-1	3R	9293642	9328511
FBgn0037676	FBtr0300335	CG8861	9294968	9328511	-1	3R	9293642	9328511
FBgn0050291	FBtr0071549	CG30291	21007755	21009576	-1	2R	21007755	21009576
FBgn0039659	FBtr0334875	CG14506	29295743	29297180	-1	3R	29293743	29297180
FBgn0039659	FBtr0334874	CG14506	29293743	29297180	-1	3R	29293743	29297180
FBgn0265748	FBtr0340711	lncRNA:CR44555	13303371	13303946	1	3L	13303371	13303946
FBgn0033426	FBtr0088523	CG1814	9579450	9581847	1	2R	9577427	9581847
FBgn0033426	FBtr0088522	CG1814	9579450	9581847	1	2R	9577427	9581847
FBgn0033426	FBtr0088521	CG1814	9577427	9581847	1	2R	9577427	9581847
FBgn0260743	FBtr0334153	GC1	11967708	11971686	1	3R	11967708	11971686
