ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSG00000012817.15_9"	"KDM5D"	chrY	-	21901413	21901548	21903203	21903374	21897506	21897636	21903620	21903743	0	0,0	0,0			198	198	NA	NA	NA,NA		NA
1	"ENSG00000012817.15_9"	"KDM5D"	chrY	-	21903203	21903374	21903620	21903743	21901413	21901548	21905047	21905125	1	0,0	0,0			198	198	NA	NA	NA,NA		NA
2	"ENSG00000183878.15_8"	"UTY"	chrY	-	15470343	15470499	15470967	15471102	15469756	15469849	15471646	15471866	2	0,0	0,0			198	198	NA	NA	NA,NA		NA
3	"ENSG00000198223.16_5_PAR_Y"	"CSF2RA"	chrY	+	1369383	1369519	1372815	1372912	1364319	1364349	1374338	1374420	3	0,0	0,0			198	196	NA	NA	NA,NA		NA
4	"ENSG00000205755.12_5_PAR_Y"	"CRLF2"	chrY	-	1267418	1267581	1267663	1268008	1264893	1265014	1271271	1271405	4	0,0	0,0			198	198	NA	NA	NA,NA		NA
5	"ENSG00000185515.14_6"	"BRCC3"	chrX	+	154300601	154300618	154301651	154301706	154299705	154299925	154305444	154305564	5	10,15	78,48			116	154	NA	NA	0.145,0.293		NA
6	"ENSG00000130826.18_5"	"DKC1"	chrX	+	153993173	153993241	153993718	153993805	153991016	153991256	153994181	153994273	6	1242,875	1765,1459			167	186	NA	NA	0.439,0.4		NA
7	"ENSG00000071889.16_6"	"FAM3A"	chrX	-	153735736	153735821	153736141	153736192	153735533	153735660	153736619	153736678	7	36,51	129,157			150	184	NA	NA	0.255,0.285		NA
8	"ENSG00000071889.16_6"	"FAM3A"	chrX	-	153735736	153735821	153736141	153736213	153735533	153735660	153736619	153736678	8	1,15	129,157			171	184	NA	NA	0.008,0.093		NA
9	"ENSG00000071889.16_6"	"FAM3A"	chrX	-	153736804	153736928	153740180	153740204	153736619	153736678	153741146	153741260	9	10,18	60,165			123	198	NA	NA	0.212,0.149		NA
10	"ENSG00000071889.16_6"	"FAM3A"	chrX	-	153740180	153740204	153741146	153741260	153736804	153736928	153744083	153744136	10	63,125	7,28			198	123	NA	NA	0.848,0.735		NA
11	"ENSG00000102119.11_4"	"EMD"	chrX	+	153608301	153608379	153608593	153608727	153607984	153608154	153609112	153609162	11	386,426	1302,937			177	198	NA	NA	0.249,0.337		NA
12	"ENSG00000196924.18_8"	"FLNA"	chrX	-	153593716	153593854	153594391	153594592	153593503	153593627	153594675	153594838	12	329,413	495,754			198	198	NA	NA	0.399,0.354		NA
13	"ENSG00000184216.14_10"	"IRAK1"	chrX	-	153279492	153279729	153281482	153281548	153278493	153278884	153281887	153282095	13	193,263	46,205			165	198	NA	NA	0.834,0.606		NA
14	"ENSG00000102030.16_8"	"NAA10"	chrX	-	153199395	153199454	153199829	153199928	153197991	153198037	153200336	153200411	14	616,400	1111,780			198	158	NA	NA	0.307,0.29		NA
15	"ENSG00000102030.16_8"	"NAA10"	chrX	-	153199413	153199454	153199829	153199928	153197991	153198037	153200336	153200468	15	616,400	16,18			198	140	NA	NA	0.965,0.94		NA
