ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSG00000182484.15_4_PAR_Y"	"WASH6P"	chrY	+	59354993	59355210	59354993	59355130	59355369	59355505	0	0,0	0,0			179	99	NA	NA	NA,NA		NA
1	"ENSG00000182484.15_4_PAR_Y"	"WASH6P"	chrY	+	59355682	59355884	59355682	59355880	59355972	59356131	1	0,0	0,0			103	99	NA	NA	NA,NA		NA
2	"ENSG00000182484.15_4_PAR_Y"	"WASH6P"	chrY	+	59357702	59357771	59357702	59357720	59357911	59358225	2	0,0	0,0			150	99	NA	NA	NA,NA		NA
3	"ENSG00000012817.15_9"	"KDM5D"	chrY	-	21870129	21870309	21870207	21870309	21869819	21869957	3	0,0	0,0			177	99	NA	NA	NA,NA		NA
4	"ENSG00000183878.15_8"	"UTY"	chrY	-	15466882	15467278	15467254	15467278	15447442	15448215	4	0,0	0,0			198	99	NA	NA	NA,NA		NA
5	"ENSG00000124333.16_4_PAR_Y"	"VAMP7"	chrY	+	59222126	59222281	59222126	59222277	59228291	59228349	5	0,0	0,0			103	99	NA	NA	NA,NA		NA
6	"ENSG00000124333.16_4_PAR_Y"	"VAMP7"	chrY	+	59222126	59222302	59222126	59222277	59228291	59228349	6	0,0	0,0			124	99	NA	NA	NA,NA		NA
7	"ENSG00000124333.16_4_PAR_Y"	"VAMP7"	chrY	+	59222126	59222302	59222126	59222281	59228291	59228349	7	0,0	0,0			120	99	NA	NA	NA,NA		NA
8	"ENSG00000124333.16_4_PAR_Y"	"VAMP7"	chrY	+	59222126	59222281	59222126	59222216	59230781	59230919	8	0,0	0,0			164	99	NA	NA	NA,NA		NA
9	"ENSG00000198223.16_5_PAR_Y"	"CSF2RA"	chrY	+	1343647	1343735	1343647	1343711	1351570	1351672	9	0,0	0,0			123	99	NA	NA	NA,NA		NA
10	"ENSG00000182484.15_4"	"WASH6P"	chrX	+	155251987	155252204	155251987	155252124	155252363	155252499	10	19,15	15,7			179	99	NA	NA	0.412,0.542		NA
11	"ENSG00000182484.15_4"	"WASH6P"	chrX	+	155252676	155252878	155252676	155252874	155252966	155253125	11	56,39	2,2			103	99	NA	NA	0.964,0.949		NA
12	"ENSG00000182484.15_4"	"WASH6P"	chrX	+	155254696	155254765	155254696	155254714	155254905	155255219	12	38,51	3,2			150	99	NA	NA	0.893,0.944		NA
13	"ENSG00000102030.16_8"	"NAA10"	chrX	-	153197523	153197884	153197768	153197884	153196215	153196300	13	1933,1171	6,9			198	99	NA	NA	0.994,0.985		NA
14	"ENSG00000102030.16_8"	"NAA10"	chrX	-	153199395	153199454	153199413	153199454	153197991	153198037	14	1840,1137	41,27			117	99	NA	NA	0.974,0.973		NA
15	"ENSG00000089820.16_7"	"ARHGAP4"	chrX	-	153175624	153176065	153175959	153176065	153175465	153175539	15	1,21	0,0			198	99	NA	NA	1.0,1.0		NA
16	"ENSG00000089820.16_7"	"ARHGAP4"	chrX	-	153178671	153179054	153178862	153179054	153178477	153178505	16	137,104	0,1			198	99	NA	NA	1.0,0.981		NA
17	"ENSG00000067840.12_5"	"PDZD4"	chrX	-	153073305	153073594	153073351	153073594	153072733	153072824	17	0,0	0,0			145	99	NA	NA	NA,NA		NA
18	"ENSG00000067840.12_5"	"PDZD4"	chrX	-	153073796	153074050	153073814	153074050	153072733	153072824	18	1,0	0,0			117	99	NA	NA	1.0,NA		NA
19	"ENSG00000198753.12_6"	"PLXNB3"	chrX	+	153041341	153041669	153041341	153041423	153041810	153041914	19	2,3	0,0			198	99	NA	NA	1.0,1.0		NA
20	"ENSG00000130822.16_5"	"PNCK"	chrX	-	152937334	152937655	152937580	152937655	152937003	152937127	20	5,12	0,1			198	99	NA	NA	1.0,0.857		NA
21	"ENSG00000262919.8_7"	"CCNQ"	chrX	-	152864419	152864480	152864423	152864480	152861461	152861645	21	49,35	21,11			103	99	NA	NA	0.692,0.754		NA
22	"ENSG00000213397.10_7"	"HAUS7"	chrX	-	152719851	152721224	152720999	152721224	152713127	152713367	22	157,119	1,0			198	99	NA	NA	0.987,1.0		NA
23	"ENSG00000124260.12_8"	"MAGEA10"	chrX	-	151304461	151304552	151304533	151304552	151304232	151304306	23	0,0	1,0			171	99	NA	NA	0.0,NA		NA
24	"ENSG00000230153.5_6"	"AF274573.1"	chrX	+	150088241	150088413	150088241	150088409	150089258	150089411	24	0,0	0,0			103	99	NA	NA	NA,NA		NA
25	"ENSG00000063601.17_7"	"MTMR1"	chrX	+	149882950	149883004	149882950	149883001	149887096	149887172	25	0,0	0,0			102	99	NA	NA	NA,NA		NA
26	"ENSG00000235703.6_8"	"LINC00894"	chrX	+	149114001	149116393	149114001	149115565	149116523	149116612	26	12,5	2,8			198	99	NA	NA	0.75,0.238		NA
