ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
20	"ENSG00000102119.11_4"	"EMD"	chrX	+	153608301	153608727	153608593	153608727	153608049	153608154
35	"ENSG00000213397.10_7"	"HAUS7"	chrX	-	152719851	152721224	152719851	152719966	152721722	152721822
41	"ENSG00000063601.17_7"	"MTMR1"	chrX	+	149867667	149867773	149867675	149867773	149861868	149862149
55	"ENSG00000223749.11_9"	"MIR503HG"	chrX	-	133678743	133678871	133678743	133678827	133680581	133680672
60	"ENSG00000134602.16_4"	"STK26"	chrX	+	131206984	131207121	131206993	131207121	131206840	131206903
67	"ENSG00000077713.19_5"	"SLC25A43"	chrX	+	118585812	118586106	118585971	118586106	118544152	118544325
68	"ENSG00000157600.12_6"	"TMEM164"	chrX	+	109246728	109247392	109247110	109247392	109246322	109246384
103	"ENSG00000229807.12_7"	"XIST"	chrX	-	73050900	73051109	73050900	73051041	73057274	73057338
105	"ENSG00000147162.14_4"	"OGT"	chrX	+	70764416	70767873	70767756	70767873	70757678	70757922
121	"ENSG00000102316.17_4"	"MAGED2"	chrX	+	54841680	54842440	54842313	54842440	54841093	54841208
123	"ENSG00000172943.20_9"	"PHF8"	chrX	-	54069063	54069253	54069063	54069242	54070194	54070906
124	"ENSG00000172943.20_9"	"PHF8"	chrX	-	54069063	54069269	54069063	54069242	54070194	54070906
125	"ENSG00000172943.20_9"	"PHF8"	chrX	-	54069063	54069269	54069063	54069253	54070194	54070906
143	"ENSG00000094631.21_8"	"HDAC6"	chrX	+	48673081	48673300	48673240	48673300	48672846	48672973
148	"ENSG00000068354.16_6"	"TBC1D25"	chrX	+	48417284	48417734	48417545	48417734	48399720	48399830
149	"ENSG00000102312.22_6"	"PORCN"	chrX	+	48368171	48368344	48368280	48368344	48367811	48368095
151	"ENSG00000068438.15_5"	"FTSJ1"	chrX	+	48340790	48340894	48340796	48340894	48339813	48339916
170	"ENSG00000047648.23_8"	"ARHGAP6"	chrX	-	11160352	11162365	11160352	11160433	11174648	11174746
171	"ENSG00000234129.8_8"	"AC073529.1"	chrX	-	11074055	11074161	11074055	11074156	11125020	11125110
178	"ENSG00000254413.8_4"	"CHKB-CPT1B"	chr22	-	51017854	51017936	51017854	51017887	51018219	51018259
191	"ENSG00000100429.18_6"	"HDAC10"	chr22	-	50684726	50685164	50684726	50684805	50685303	50685395
194	"ENSG00000100429.18_6"	"HDAC10"	chr22	-	50687259	50687319	50687259	50687288	50687756	50687883
199	"ENSG00000128159.12_9"	"TUBGCP6"	chr22	-	50658385	50660303	50658385	50658444	50660456	50660531
210	"ENSG00000186951.16_6"	"PPARA"	chr22	+	46594238	46594488	46594241	46594488	46584619	46584719
222	"ENSG00000100417.12_5"	"PMM1"	chr22	-	41979962	41980376	41979962	41980062	41980530	41980607
224	"ENSG00000100395.15_4"	"L3MBTL2"	chr22	+	41613126	41615540	41615422	41615540	41612142	41612266
228	"ENSG00000100316.16_7"	"RPL3"	chr22	-	39708888	39709315	39708888	39708989	39709638	39709734
233	"ENSG00000100242.15_6"	"SUN2"	chr22	-	39135346	39135431	39135346	39135428	39135726	39135948
235	"ENSG00000198792.13_8"	"TMEM184B"	chr22	-	38627249	38627405	38627249	38627340	38641940	38642106
239	"ENSG00000100097.12_4"	"LGALS1"	chr22	+	38072862	38073072	38072992	38073072	38072131	38072195
276	"ENSG00000180957.18_8"	"PITPNB"	chr22	-	28292539	28292622	28292539	28292614	28293788	28293880
308	"ENSG00000183506.17_6"	"PI4KAP2"	chr22	-	21829499	21831030	21829499	21829589	21832078	21832204
309	"ENSG00000183506.17_6"	"PI4KAP2"	chr22	-	21829499	21831053	21829499	21829589	21832078	21832204
315	"ENSG00000184436.12_5"	"THAP7"	chr22	-	21354935	21355700	21354935	21355076	21356120	21356200
323	"ENSG00000184470.21_7"	"TXNRD2"	chr22	-	19863044	19864757	19863044	19863330	19865612	19865710
329	"ENSG00000070371.16_6"	"CLTCL1"	chr22	-	19183776	19184167	19183776	19183926	19187244	19187352
355	"ENSG00000186866.16_4"	"POFUT2"	chr21	-	46683842	46687628	46683842	46685550	46689753	46689934
358	"ENSG00000141959.17_3"	"PFKL"	chr21	+	45733795	45736222	45736126	45736222	45733520	45733565
381	"ENSG00000185917.13_6"	"SETD4"	chr21	-	37431113	37431271	37431113	37431222	37432119	37432540
407	"ENSG00000232884.9_9"	"AF127936.1"	chr21	-	16119082	16120696	16119082	16119650	16125644	16125715
417	"ENSG00000258366.9_5"	"RTEL1"	chr20	+	62321318	62321563	62321439	62321563	62321198	62321218
437	"ENSG00000101158.15_6"	"NELFCD"	chr20	+	57568678	57569294	57569164	57569294	57568503	57568599
445	"ENSG00000124092.12_6"	"CTCFL"	chr20	-	56083661	56083844	56083661	56083760	56087647	56087808
446	"ENSG00000124092.12_6"	"CTCFL"	chr20	-	56089647	56090890	56089647	56089797	56093813	56093947
461	"ENSG00000124214.19_6"	"STAU1"	chr20	-	47740911	47741142	47740911	47741124	47768118	47768284
463	"ENSG00000101040.19_7"	"ZMYND8"	chr20	-	45927472	45927691	45927472	45927616	45976599	45976670
470	"ENSG00000099942.13_4"	"CRKL"	chr22	+	21303998	21308035	21307493	21308035	21288066	21288532
494	"ENSG00000147274.14_6"	"RBMX"	chrX	-	135961175	135961612	135961175	135961282	135962755	135962881
497	"ENSG00000101104.13_3"	"PABPC1L"	chr20	+	43561697	43561826	43561712	43561826	43560473	43560667
499	"ENSG00000101104.13_3"	"PABPC1L"	chr20	+	43561697	43561826	43561712	43561826	43561322	43561354
519	"ENSG00000131051.24_10"	"RBM39"	chr20	-	34297145	34297196	34297145	34297178	34302106	34302311
526	"ENSG00000101464.10_6"	"PIGU"	chr20	-	33173240	33173384	33173240	33173284	33176343	33176411
527	"ENSG00000100201.22_7"	"DDX17"	chr22	-	38883883	38888120	38883883	38884120	38889714	38889776
538	"ENSG00000078699.22_4"	"CBFA2T2"	chr20	+	32228146	32228337	32228149	32228337	32224445	32224514
543	"ENSG00000101337.16_6"	"TM9SF4"	chr20	+	30729299	30729468	30729343	30729468	30720815	30720929
549	"ENSG00000101294.18_6"	"HM13"	chr20	+	30136767	30136917	30136831	30136917	30135250	30135495
550	"ENSG00000101294.18_6"	"HM13"	chr20	+	30136441	30136917	30136831	30136917	30135267	30135409
552	"ENSG00000205611.5_5"	"LINC01597"	chr20	-	29522946	29523208	29522946	29523061	29524329	29524566
568	"ENSG00000088970.16_8"	"KIZ"	chr20	+	21224882	21227260	21227116	21227260	21213371	21213468
593	"ENSG00000089057.15_7"	"SLC23A2"	chr20	-	4951438	4951565	4951438	4951561	4982051	4982156
602	"ENSG00000132635.17_6"	"PCED1A"	chr20	-	2816684	2816960	2816684	2816756	2818877	2819124
632	"ENSG00000283515.1_8"	"AC020915.5"	chr19	+	58758076	58758160	58758111	58758160	58757666	58757793
637	"ENSG00000268750.7_8"	"AC010522.1"	chr19	+	58367471	58367601	58367474	58367601	58331861	58331917
638	"ENSG00000268750.7_8"	"AC010522.1"	chr19	+	58367471	58367601	58367474	58367601	58350390	58350517
659	"ENSG00000133265.11_6"	"HSPBP1"	chr19	-	55790766	55791073	55790766	55791070	55791297	55791445
675	"ENSG00000197937.12_6"	"ZNF347"	chr19	-	53651933	53652065	53651933	53652062	53656985	53657046
682	"ENSG00000167766.18_5"	"ZNF83"	chr19	-	53119970	53120094	53119970	53120068	53122188	53122315
683	"ENSG00000167766.18_5"	"ZNF83"	chr19	-	53119970	53120128	53119970	53120068	53122188	53122315
695	"ENSG00000063244.12_6"	"U2AF2"	chr19	+	56173867	56173984	56173870	56173984	56173136	56173200
705	"ENSG00000062822.15_6"	"POLD1"	chr19	+	50902104	50902310	50902107	50902310	50898281	50898407
708	"ENSG00000131408.15_10"	"NR1H2"	chr19	+	50880809	50880905	50880843	50880905	50880501	50880585
716	"ENSG00000213024.12_7"	"NUP62"	chr19	-	50430950	50431105	50430950	50431072	50432606	50433020
717	"ENSG00000213024.12_7"	"NUP62"	chr19	-	50430950	50431105	50430950	50431072	50432673	50432761
731	"ENSG00000126456.16_7"	"IRF3"	chr19	-	50163969	50164101	50163969	50164085	50165681	50165874
736	"ENSG00000142546.14_8"	"NOSIP"	chr19	-	50060346	50062235	50060346	50060506	50063190	50063296
740	"ENSG00000142541.17_5"	"RPL13A"	chr19	+	49993488	49993833	49993731	49993833	49993106	49993179
751	"ENSG00000197813.6_8"	"AC011450.1"	chr19	-	49835310	49835577	49835310	49835553	49843487	49843539
756	"ENSG00000104805.16_8"	"NUCB1"	chr19	+	49422286	49422543	49422450	49422543	49421982	49422041
779	"ENSG00000160014.17_6"	"CALM3"	chr19	+	47111738	47112238	47112180	47112238	47111453	47111584
780	"ENSG00000011485.15_4"	"PPP5C"	chr19	+	46887036	46887135	46887040	46887135	46879709	46879831
787	"ENSG00000125755.19_6"	"SYMPK"	chr19	-	46331094	46332463	46331094	46331176	46333311	46333462
802	"ENSG00000131115.16_5"	"ZNF227"	chr19	+	44717239	44717397	44717242	44717397	44716775	44716916
807	"ENSG00000104783.14_8"	"KCNN4"	chr19	-	44273114	44273712	44273114	44273184	44273870	44273981
808	"ENSG00000104783.14_8"	"KCNN4"	chr19	-	44276151	44276287	44276151	44276255	44277937	44278052
809	"ENSG00000104783.14_8"	"KCNN4"	chr19	-	44276151	44276287	44276151	44276255	44278343	44278771
834	"ENSG00000188493.15_9"	"C19orf54"	chr19	-	41246766	41246970	41246766	41246913	41247270	41247585
835	"ENSG00000188493.15_9"	"C19orf54"	chr19	-	41249819	41249886	41249819	41249880	41249971	41250101
850	"ENSG00000105193.9_5"	"RPS16"	chr19	-	39924161	39924401	39924161	39924209	39926246	39926348
851	"ENSG00000105193.9_5"	"RPS16"	chr19	-	39926246	39926348	39926246	39926345	39926487	39926589
866	"ENSG00000189144.13_6"	"ZNF573"	chr19	-	38262203	38262336	38262203	38262330	38263577	38263622
868	"ENSG00000198182.13_8"	"ZNF607"	chr19	-	38198814	38198913	38198814	38198910	38200596	38200723
877	"ENSG00000232677.8_9"	"LINC00665"	chr19	-	36815825	36816798	36815825	36816789	36821154	36821394
878	"ENSG00000232677.8_9"	"LINC00665"	chr19	-	36815825	36818072	36815825	36816789	36821154	36821394
879	"ENSG00000232677.8_9"	"LINC00665"	chr19	-	36815825	36818127	36815825	36816789	36821154	36821394
880	"ENSG00000232677.8_9"	"LINC00665"	chr19	-	36815825	36818177	36815825	36816789	36821154	36821394
892	"ENSG00000239382.10_8"	"ALKBH6"	chr19	-	36501795	36501967	36501795	36501947	36503902	36503991
893	"ENSG00000239382.10_8"	"ALKBH6"	chr19	-	36501639	36501979	36501639	36501947	36503922	36503991
902	"ENSG00000126246.10_8"	"IGFLR1"	chr19	-	36230610	36230989	36230610	36230670	36231924	36232124
910	"ENSG00000126254.12_5"	"RBM42"	chr19	+	36123978	36124154	36123999	36124154	36123837	36123903
911	"ENSG00000126254.12_5"	"RBM42"	chr19	+	36128059	36128254	36128151	36128254	36125157	36125275
913	"ENSG00000105677.12_4"	"TMEM147"	chr19	+	36037573	36038142	36038020	36038142	36036789	36036859
916	"ENSG00000236144.8_9"	"TMEM147-AS1"	chr19	-	36033812	36034175	36033812	36033999	36036838	36036931
919	"ENSG00000105699.16_6"	"LSR"	chr19	+	35757738	35757870	35757741	35757870	35757261	35757435
937	"ENSG00000266976.3_6"	"AC079466.1"	chr19	+	29101875	29102097	29101888	29102097	29097634	29098011
939	"ENSG00000266976.3_6"	"AC079466.1"	chr19	+	29101888	29103061	29102818	29103061	29101166	29101238
954	"ENSG00000167491.17_6"	"GATAD2A"	chr19	+	19576148	19576423	19576153	19576423	19538504	19538801
955	"ENSG00000167491.17_6"	"GATAD2A"	chr19	+	19576148	19576423	19576153	19576423	19567920	19568038
958	"ENSG00000105705.16_10"	"SUGP1"	chr19	-	19414156	19414257	19414156	19414215	19414532	19414852
966	"ENSG00000064545.15_9"	"TMEM161A"	chr19	-	19232116	19232477	19232116	19232230	19232567	19232628
972	"ENSG00000221983.8_6"	"UBA52"	chr19	+	18685679	18686051	18685866	18686051	18684471	18684558
986	"ENSG00000130475.14_5"	"FCHO1"	chr19	+	17865926	17866000	17865930	17866000	17865125	17865170
993	"ENSG00000282851.2_6"	"BISPR"	chr19	+	17523905	17524114	17524029	17524114	17516885	17517105
995	"ENSG00000130299.17_6"	"GTPBP3"	chr19	+	17448682	17449064	17448816	17449064	17447781	17448078
1046	"ENSG00000099797.15_6"	"TECR"	chr19	+	14675877	14676102	14676013	14676102	14675760	14675804
1048	"ENSG00000123136.15_6"	"DDX39A"	chr19	-	14520553	14521146	14520553	14520685	14521800	14521984
1052	"ENSG00000132017.10_4"	"DCAF15"	chr19	+	14071098	14071392	14071276	14071392	14070795	14070881
1064	"ENSG00000105607.13_5"	"GCDH"	chr19	+	13008116	13008677	13008516	13008677	13007723	13007827
1070	"ENSG00000105576.15_9"	"TNPO2"	chr19	-	12816495	12816644	12816495	12816582	12816823	12816923
1073	"ENSG00000105576.15_9"	"TNPO2"	chr19	-	12834062	12834179	12834062	12834174	12834582	12834825
1084	"ENSG00000105518.14_6"	"TMEM205"	chr19	-	11456195	11456413	11456195	11456304	11456818	11456938
1085	"ENSG00000105518.14_6"	"TMEM205"	chr19	-	11456195	11456413	11456195	11456304	11457009	11457082
1087	"ENSG00000127616.18_8"	"SMARCA4"	chr19	+	11094796	11095049	11094799	11095049	11088328	11088491
1095	"ENSG00000127616.18_8"	"SMARCA4"	chr19	+	11168930	11169039	11168933	11169039	11158270	11158471
