ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSG00000182484.15_4_PAR_Y"	"WASH6P"	chrY	+	59354984	59355130	59354993	59355130	59354669	59354816	0	0,0	0,0			108	99	NA	NA	NA,NA		NA
1	"ENSG00000012817.15_9"	"KDM5D"	chrY	-	21871336	21872146	21871336	21871695	21872261	21872358	1	0,0	0,0			198	99	NA	NA	NA,NA		NA
2	"ENSG00000012817.15_9"	"KDM5D"	chrY	-	21877708	21877997	21877708	21877890	21878164	21878359	2	0,0	0,0			198	99	NA	NA	NA,NA		NA
3	"ENSG00000183878.15_8"	"UTY"	chrY	-	15470343	15470499	15470343	15470433	15470967	15471102	3	0,0	0,0			165	99	NA	NA	NA,NA		NA
4	"ENSG00000114374.13_5"	"USP9Y"	chrY	+	14954150	14954391	14954165	14954391	14952935	14953059	4	0,0	0,0			114	99	NA	NA	NA,NA		NA
5	"ENSG00000229549.9_7"	"TSPY8"	chrY	+	9197204	9197297	9197215	9197297	9196963	9197109	5	0,0	0,0			110	99	NA	NA	NA,NA		NA
6	"ENSG00000233803.9_6"	"TSPY4"	chrY	+	9176889	9176982	9176900	9176982	9176648	9176794	6	0,0	0,0			110	99	NA	NA	NA,NA		NA
7	"ENSG00000168757.8"	"TSPY2"	chrY	+	6116056	6116149	6116067	6116149	6115815	6115961	7	0,0	0,0			110	99	NA	NA	NA,NA		NA
8	"ENSG00000231535.7_7"	"LINC00278"	chrY	+	2965035	2965097	2965038	2965097	2947324	2947382	8	0,0	0,0			102	99	NA	NA	NA,NA		NA
9	"ENSG00000214717.12_7_PAR_Y"	"ZBED1"	chrY	-	2354454	2358813	2354454	2358810	2368857	2369008	9	0,0	0,0			102	99	NA	NA	NA,NA		NA
10	"ENSG00000182484.15_4"	"WASH6P"	chrX	+	155251978	155252124	155251987	155252124	155251663	155251810	10	19,14	7,4			108	99	NA	NA	0.713,0.762		NA
11	"ENSG00000124334.17_5"	"IL9R"	chrX	+	155233341	155233520	155233348	155233520	155233113	155233225	11	11,9	0,0			106	99	NA	NA	1.0,1.0		NA
12	"ENSG00000185515.14_6"	"BRCC3"	chrX	+	154301648	154301706	154301651	154301706	154300601	154300618	12	10,7	73,63			102	99	NA	NA	0.117,0.097		NA
13	"ENSG00000160219.12_5"	"GAB3"	chrX	-	153941481	153941701	153941481	153941698	153944300	153944604	13	96,53	25,20			102	99	NA	NA	0.788,0.72		NA
14	"ENSG00000071889.16_6"	"FAM3A"	chrX	-	153736141	153736213	153736141	153736192	153736619	153736678	14	10,27	113,99			120	99	NA	NA	0.068,0.184		NA
15	"ENSG00000071889.16_6"	"FAM3A"	chrX	-	153736804	153736983	153736804	153736928	153740180	153740204	15	11,18	48,163			154	99	NA	NA	0.128,0.066		NA
16	"ENSG00000071889.16_6"	"FAM3A"	chrX	-	153736804	153737142	153736804	153736928	153740180	153740204	16	27,28	48,163			198	99	NA	NA	0.22,0.079		NA
17	"ENSG00000071889.16_6"	"FAM3A"	chrX	-	153736804	153737142	153736804	153736983	153740180	153740204	17	30,18	7,3			198	99	NA	NA	0.682,0.75		NA
18	"ENSG00000071889.16_6"	"FAM3A"	chrX	-	153740637	153740755	153740637	153740735	153741146	153741260	18	1,3	17,48			119	99	NA	NA	0.047,0.049		NA
19	"ENSG00000203879.12_4"	"GDI1"	chrX	+	153666821	153666976	153666868	153666976	153665499	153665645	19	0,0	263,161			146	99	NA	NA	0.0,0.0		NA
20	"ENSG00000102119.11_4"	"EMD"	chrX	+	153608301	153608727	153608593	153608727	153608049	153608154	20	769,697	1,0			198	99	NA	NA	0.997,1.0		NA
21	"ENSG00000196924.18_8"	"FLNA"	chrX	-	153581368	153581589	153581368	153581572	153581663	153581825	21	4,2	1961,1390			116	99	NA	NA	0.002,0.001		NA
22	"ENSG00000196924.18_8"	"FLNA"	chrX	-	153593503	153593627	153593503	153593625	153593716	153593854	22	512,809	0,1			101	99	NA	NA	1.0,0.999		NA
23	"ENSG00000184216.14_10"	"IRAK1"	chrX	-	153278493	153278884	153278493	153278794	153279492	153279729	23	78,408	2,17			189	99	NA	NA	0.953,0.926		NA
24	"ENSG00000184216.14_10"	"IRAK1"	chrX	-	153278493	153278884	153278493	153278794	153281482	153281548	24	32,201	2,3			189	99	NA	NA	0.893,0.972		NA
25	"ENSG00000089820.16_7"	"ARHGAP4"	chrX	-	153178862	153179054	153178862	153178970	153179231	153179333	25	236,193	1,1			183	99	NA	NA	0.992,0.991		NA
26	"ENSG00000089820.16_7"	"ARHGAP4"	chrX	-	153186079	153186290	153186079	153186262	153186549	153186612	26	0,0	17,33			127	99	NA	NA	0.0,0.0		NA
27	"ENSG00000089820.16_7"	"ARHGAP4"	chrX	-	153186549	153186676	153186549	153186612	153186817	153186980	27	0,0	14,28			163	99	NA	NA	0.0,0.0		NA
28	"ENSG00000126895.15_7"	"AVPR2"	chrX	+	153170985	153171870	153171472	153171870	153170427	153170624	28	0,1	0,0			198	99	NA	NA	NA,1.0		NA
