gene_symbol$transcript_id$relative_likelihood$best_order$number_of_orders_have_same_prob$percent_coverage_order_pair$disorder_p_value$spearman_rho$spearman_rho_abs$spearman_p_value
CG9578$FBtr0070008$-2.39789527279837$1,3,2$1$1$NA$0.5$0.5$1
Rab35$FBtr0070028$-3.04452243772342$2,1$1$1$NA$-1$1$1
ND-MLRQ$FBtr0070040$0$1,2$1$1$NA$1$1$1
Or1a$FBtr0070070$-2.39789527279837$2,1$1$1$NA$-1$1$1
CG3176$FBtr0070078$0$1,2$1$1$NA$1$1$1
CR18166$FBtr0070095$-3.43398720448515$2,1$1$1$NA$-1$1$1
CR18275$FBtr0070097$-3.04452243772342$2,1$1$1$NA$-1$1$1
Roc1a$FBtr0070122$-2.39789527279837$2,1$1$1$NA$-1$1$1
RpL22$FBtr0070148$-2.39789527279837$2,1$1$1$NA$-1$1$1
RpL36$FBtr0070155$-5.08140436498446$2,1$1$1$NA$-1$1$1
RpL36$FBtr0070156$-5.08140436498446$2,1$1$1$NA$-1$1$1
RpL36$FBtr0070157$-5.08140436498446$2,1$1$1$NA$-1$1$1
RpL36$FBtr0070158$-5.08140436498446$2,1$1$1$NA$-1$1$1
MED22$FBtr0070165$0$1,2$1$1$NA$1$1$1
CG11403$FBtr0070245$0$1,2$1$1$NA$1$1$1
sta$FBtr0070289$-2.39789527279837$2,1$1$1$NA$-1$1$1
sta$FBtr0070290$0$1,2$2$1$NA$1$1$1
Rab27$FBtr0070294$-2.39789527279837$2,1$1$1$NA$-1$1$1
MED18$FBtr0070308$0$1,2$1$1$NA$1$1$1
mRpL16$FBtr0070314$0$1,2$1$1$NA$1$1$1
CG4199$FBtr0070334$-2.39789527279837$2,1$1$1$NA$-1$1$1
CG4199$FBtr0070336$-2.39789527279837$2,1$1$1$NA$-1$1$1
CG16903$FBtr0070434$0$1,2$1$1$NA$1$1$1
Seipin$FBtr0070442$-2.39789527279837$2,1$1$1$NA$-1$1$1
VhaAC39-1$FBtr0070611$0$1,2$1$1$NA$1$1$1
Tip60$FBtr0070668$-2.39789527279837$1,2,4,3$1$1$NA$0.8$0.8$0.333333333333333
CHOp24$FBtr0070675$-2.39789527279837$2,1$1$1$NA$-1$1$1
CG12730$FBtr0070780$-2.39789527279837$2,1$1$1$NA$-1$1$1
RpL35$FBtr0070800$-3.71357206670431$2,1$1$1$NA$-1$1$1
RpL35$FBtr0070801$-3.71357206670431$2,1$1$1$NA$-1$1$1
lin-52$FBtr0070840$0$1,2,3$1$1$NA$1$1$0.333333333333333
kdn$FBtr0070907$0$1,2$1$1$NA$1$1$1
PpV$FBtr0070921$0$1,2$1$1$NA$1$1$1
ND-B16.6$FBtr0070924$0$1,2$1$1$NA$1$1$1
Nf-YC$FBtr0070974$0$1,2$1$1$NA$1$1$1
Setd3$FBtr0071039$0$1,2$1$1$NA$1$1$1
Dok$FBtr0071049$0$1,2$1$1$NA$1$1$1
RpS14a$FBtr0071094$-3.43398720448515$2,1$1$1$NA$-1$1$1
RpS14b$FBtr0071096$-3.04452243772342$2,1$1$1$NA$-1$1$1
RpS6$FBtr0071135$-3.43398720448515$2,1$1$1$NA$-1$1$1
CG12112$FBtr0071233$-3.04452243772342$1,3,2$1$1$NA$0.5$0.5$1
Miga$FBtr0071246$0$1,2$1$1$NA$1$1$1
e(r)$FBtr0071266$-2.39789527279837$2,1$1$1$NA$-1$1$1
CG12118$FBtr0071340$0$1,2$1$1$NA$1$1$1
His3.3B$FBtr0071345$0$1,2$1$1$NA$1$1$1
CG15317$FBtr0071371$0$1,2$1$1$NA$1$1$1
CG32687$FBtr0071458$0$1,2$1$1$NA$1$1$1
Prosalpha3$FBtr0071522$0$1,2$1$1$NA$1$1$1
ND-B14.7$FBtr0071530$-7.54486106865846$2,3,1$1$1$NA$-0.5$0.5$1
