#Gene stable ID	Transcript stable ID	Gene name	Transcript start (bp)	Transcript end (bp)	Strand	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)
SPRRNA.50	SPRRNA.50.1	SPRRNA.50	9842	10006	-1	III	9842	10006
SPAC212.11	SPAC212.11.1	tlh1	1	5662	-1	I	1	5662
SPNCRNA.1095	SPNCRNA.1095.1	SPNCRNA.1095	23919	24438	-1	III	23919	24438
SPCC1884.02	SPCC1884.02.1	nic1	43480	46985	1	III	43480	46985
SPBC1778.08c	SPBC1778.08c.1	arc3	3111115	3112285	-1	II	3111115	3112285
SPCC757.02c	SPCC757.02c.1	SPCC757.02c	44814	46961	-1	III	44814	46961
SPCC757.03c	SPCC757.03c.1	hsp3101	47325	48577	-1	III	47325	48577
SPNCRNA.450	SPNCRNA.450.1	SPNCRNA.450	49076	49156	1	III	49076	49156
SPAC212.02	SPAC212.02.1	SPAC212.02	27353	27763	-1	I	27353	27763
SPCC757.07c	SPCC757.07c.1	ctt1	56654	58865	-1	III	56654	58865
SPAC977.02	SPAC977.02.1	SPAC977.02	32034	33012	1	I	32034	33012
SPCC757.11c	SPCC757.11c.1	SPCC757.11c	69195	71282	-1	III	69195	71282
SPNCRNA.1102	SPNCRNA.1102.1	SPNCRNA.1102	79848	80436	-1	III	79848	80436
SPBC1778.10c	SPBC1778.10c.1	ppk21	3114231	3116630	-1	II	3114231	3116630
SPCC613.03	SPCC613.03.1	SPCC613.03	85128	88460	1	III	85128	88460
SPAC977.05c	SPAC977.05c.1	SPAC977.05c	35768	36382	-1	I	35768	36382
SPNCRNA.1103	SPNCRNA.1103.1	rpl902-antisense-1	89569	91413	-1	III	89569	91413
SPBC4C3.09	SPBC4C3.09.1	SPBC4C3.09	3118837	3120548	-1	II	3118837	3120548
SPAC977.08	SPAC977.08.1	SPAC977.08	44644	45468	1	I	44644	45468
SPCC613.07	SPCC613.07.1	SPCC613.07	91153	92898	1	III	91153	92898
SPNCRNA.1105	SPNCRNA.1105.1	rhp16-antisense-1	101801	105553	1	III	101801	105553
SPBC4C3.08	SPBC4C3.08.1	mug136	3120771	3122439	-1	II	3120771	3122439
SPAC977.11	SPAC977.11.1	SPAC977.11	55059	56308	1	I	55059	56308
SPCC330.02	SPCC330.02.1	rhp7	105535	107848	1	III	105535	107848
SPAC977.12	SPAC977.12.1	SPAC977.12	56373	57736	1	I	56373	57736
SPBC4C3.06	SPBC4C3.06.1	syp1	3124002	3126786	-1	II	3124002	3126786
SPCC330.06c	SPCC330.06c.1	pmp20	118222	119002	-1	III	118222	119002
SPBC460.03	SPBC460.03.1	vba2	11641	13344	1	AB325691	11641	13344
SPNCRNA.455	SPNCRNA.455.1	SPNCRNA.455	120113	120204	1	III	120113	120204
SPBC405.03c	SPBC405.03c.1	SPBC405.03c	3145383	3146892	-1	II	3145383	3146892
SPCC320.14	SPCC320.14.1	sry1	138959	140937	-1	III	138959	140937
SPAC977.15	SPAC977.15.1	SPAC977.15	62961	63862	1	I	62961	63862
SPBC405.05	SPBC405.05.1	atg16	3148510	3149656	1	II	3148510	3149656
SPNCRNA.456	SPNCRNA.456.1	SPNCRNA.456	141220	141422	1	III	141220	141422
SPNCRNA.541	SPNCRNA.541.1	SPBC405.06-antisense-2	3150467	3153000	-1	II	3150467	3153000
SPCC320.05	SPCC320.05.1	SPCC320.05	159613	162339	-1	III	159613	162339
SPNCRNA.415	SPNCRNA.415.1	SPNCRNA.415	3154684	3155288	1	II	3154684	3155288
SPCC320.04c	SPCC320.04c.1	gem1	162907	165664	1	III	162907	165664
SPBC609.01	SPBC609.01.1	SPBC609.01	3155857	3161616	1	II	3155857	3161616
SPCC1235.01	SPCC1235.01.1	SPCC1235.01	174097	176473	1	III	174097	176473
SPSNORNA.45	SPSNORNA.45.1	snR93	3172781	3172923	1	II	3172781	3172923
SPNCRNA.1117	SPNCRNA.1117.1	fft2-antisense-1	186332	187386	1	III	186332	187386
SPAC977.17	SPAC977.17.1	SPAC977.17	66219	69821	1	I	66219	69821
SPNCRNA.37	SPNCRNA.37.1	prl37	71982	72380	-1	I	71982	72380
SPBC776.03	SPBC776.03.1	SPBC776.03	3176669	3177967	1	II	3176669	3177967
SPNCRNA.138	SPNCRNA.138.1	SPNCRNA.138	79209	79317	1	I	79209	79317
SPNCRNA.1586	SPNCRNA.1586.1	sec2302-antisense-1	3178326	3181780	-1	II	3178326	3181780
SPNCRNA.603	SPNCRNA.603.1	SPNCRNA.603	81468	82345	-1	I	81468	82345
SPBC776.07	SPBC776.07.1	mam33	3186348	3187470	1	II	3186348	3187470
SPAC1F8.01	SPAC1F8.01.1	ght3	82746	84786	1	I	82746	84786
SPAC1F8.02c	SPAC1F8.02c.1	shu1	85566	86324	-1	I	85566	86324
SPCC1235.06	SPCC1235.06.1	sif1	189068	190401	1	III	189068	190401
SPNCRNA.604	SPNCRNA.604.1	SPNCRNA.604	90681	91753	-1	I	90681	91753
SPNCRNA.606	SPNCRNA.606.1	isp3-antisense-1	95159	96525	-1	I	95159	96525
SPCC1235.08c	SPCC1235.08c.1	pdh1	191695	194803	-1	III	191695	194803
SPAC1F8.08	SPAC1F8.08.1	SPAC1F8.08	103941	104953	1	I	103941	104953
SPCC1235.17	SPCC1235.17.1	SPCC1235.17	207225	211270	-1	III	207225	211270
SPCC548.04	SPCC548.04.1	urm1	223267	225759	1	III	223267	225759
SPAC11D3.04c	SPAC11D3.04c.1	SPAC11D3.04c	112514	114445	-1	I	112514	114445
SPCC794.10	SPCC794.10.1	ugp1	270895	272943	1	III	270895	272943
SPBC776.12c	SPBC776.12c.1	hsk1	3197060	3199233	-1	II	3197060	3199233
SPAC11D3.08c	SPAC11D3.08c.1	SPAC11D3.08c	120321	123785	-1	I	120321	123785
SPNCRNA.1125	SPNCRNA.1125.1	SPNCRNA.1125	285644	286318	1	III	285644	286318
SPAC11D3.10	SPAC11D3.10.1	SPAC11D3.10	124907	129053	1	I	124907	129053
SPCC553.04	SPCC553.04.1	cyp9	300014	302380	-1	III	300014	302380
SPNCRNA.1129	SPNCRNA.1129.1	SPNCRNA.1129	308997	310145	1	III	308997	310145
SPAC11D3.13	SPAC11D3.13.1	hsp3104	130148	131268	1	I	130148	131268
SPNCRNA.147	SPNCRNA.147.1	SPNCRNA.147	135569	135926	1	I	135569	135926
SPBC776.14	SPBC776.14.1	plh1	3204345	3208235	1	II	3204345	3208235
SPAC5H10.03	SPAC5H10.03.1	SPAC5H10.03	149446	152909	1	I	149446	152909
SPCC736.02	SPCC736.02.1	SPCC736.02	313035	314226	1	III	313035	314226
SPBC19F8.04c	SPBC19F8.04c.1	lcl3	3234645	3235811	-1	II	3234645	3235811
SPAC5H10.07	SPAC5H10.07.1	SPAC5H10.07	158777	159472	1	I	158777	159472
SPNCRNA.614	SPNCRNA.614.1	SPAC5H10.09c-antisense-1	161072	162819	1	I	161072	162819
