SPAC11D3.03c.1	chrI:112047-112097	chrI:112047-112097	-	false	1
SPAC11D3.03c.1	chrI:112047-112097	chrI:111850-111920	-	false	1
SPAC11D3.03c.1	chrI:112334-112377	chrI:112047-112097	-	false	1
SPAC13G6.04.1	chrI:180722-180889	chrI:180529-180585	+	false	1
SPAC13G6.05c.1	chrI:181750-182000	chrI:181575-181631	-	false	1
SPAC1639.01c.1	chrI:252753-253589	chrI:252338-252391	-	false	1
SPAC1639.02c.1	chrI:257010-257054	chrI:257071-257115	-	false	1
SPAC1639.02c.1	chrI:257136-257178	chrI:257182-257228	-	false	9
SPAC1639.02c.1	chrI:257071-257115	chrI:257182-257228	-	false	1
SPAC1639.02c.1	chrI:257136-257178	chrI:257010-257054	-	false	2
SPAC1639.02c.1	chrI:257071-257115	chrI:257136-257178	-	false	1
SPAC1639.02c.1	chrI:256446-256541	chrI:256751-256796	-	false	1
SPAC1639.02c.1	chrI:256446-256541	chrI:256613-256683	-	false	3
SPAC1639.02c.1	chrI:257136-257178	chrI:257071-257115	-	false	3
SPAC1639.02c.1	chrI:257071-257115	chrI:257010-257054	-	false	1
SPAC1639.02c.1	chrI:256446-256541	chrI:257182-257228	-	false	1
SPAC1639.02c.1	chrI:256371-256426	chrI:256446-256541	-	false	1
SPAC18B11.08c.1	chrI:304861-304918	chrI:304536-304673	+	false	1
SPAC18B11.08c.1	chrI:304861-304918	chrI:304732-304770	+	false	2
SPAC18B11.08c.1	chrI:304956-304999	chrI:304861-304918	+	false	1
SPAC18B11.07c.1	chrI:305765-305811	chrI:305877-306089	+	false	1
SPAC18B11.07c.1	chrI:305877-306089	chrI:305765-305811	+	false	1
SPAC18B11.07c.1	chrI:306211-306315	chrI:306420-306467	+	false	1
SPAC18B11.07c.1	chrI:306211-306315	chrI:305877-306089	+	false	1
SPAC18B11.05.1	chrI:309720-309750	chrI:309840-309888	-	false	1
SPAC630.03.1	chrI:350512-350574	chrI:350599-350670	+	false	1
SPAC630.03.1	chrI:350599-350670	chrI:350512-350574	+	false	1
SPAC630.06c.1	chrI:356434-356510	chrI:356434-356510	-	false	1
SPAC630.11.1	chrI:367041-367104	chrI:366892-366967	+	false	1
SPAC630.11.1	chrI:367190-367292	chrI:366818-366872	+	false	2
SPAC630.11.1	chrI:367190-367292	chrI:367349-367394	+	false	1
SPAC630.11.1	chrI:366818-366872	chrI:366892-366967	+	false	2
SPAC630.11.1	chrI:366892-366967	chrI:367349-367394	+	false	1
SPAC630.11.1	chrI:366892-366967	chrI:366818-366872	+	false	3
SPAC630.14c.1	chrI:375831-376093	chrI:376447-376843	-	false	1
SPAC630.14c.1	chrI:376932-376992	chrI:376447-376843	-	false	1
SPAC630.14c.1	chrI:375831-376093	chrI:375831-375991	-	false	3
SPAC630.14c.1	chrI:376447-376843	chrI:376932-376992	-	false	1
SPAC1751.04.1	chrI:384350-384479	chrI:384591-384985	+	false	1
SPAC1751.04.1	chrI:384591-384985	chrI:384350-384479	+	false	1
SPAC31A2.02.1	chrI:388622-388720	chrI:388416-388451	+	false	1
SPAC13C5.05c.1	chrI:433114-433153	chrI:432983-433027	-	false	2
SPAC13C5.07.1	chrI:437581-437623	chrI:437798-437840	+	false	2
SPAPB21F2.02.1	chrI:492477-492511	chrI:492631-492672	+	false	1
SPAPB21F2.02.1	chrI:492631-492672	chrI:492477-492511	+	false	1
SPAC227.10.1	chrI:513999-514045	chrI:513859-513907	+	false	1
SPAC227.16c.1	chrI:528065-528123	chrI:528461-528566	-	false	1
SPAC2F7.17.1	chrI:570648-570884	chrI:570407-570548	+	false	1
SPAC13A11.04c.1	chrI:579790-579834	chrI:579900-579952	-	false	1
SPAC3H8.05c.1	chrI:594732-594770	chrI:594860-594899	-	false	1
SPAC3H8.10.1	chrI:609502-609697	chrI:609821-609883	+	false	3
SPAC1F3.05.1	chrI:623463-623517	chrI:623306-623374	+	false	1
SPAC1F3.09.1	chrI:636177-636233	chrI:636315-636384	+	false	23
SPAC1D4.02c.1	chrI:641185-641280	chrI:640948-640996	-	false	1
SPAC1D4.02c.1	chrI:641185-641280	chrI:641402-641447	-	false	1
SPAC1D4.02c.1	chrI:641402-641447	chrI:641185-641280	-	false	1
SPAC1D4.04.1	chrI:644714-644749	chrI:644882-644928	+	false	3
SPAC1D4.04.1	chrI:644882-644928	chrI:644714-644749	+	false	2
SPAC1D4.09c.1	chrI:652699-652762	chrI:652530-652575	-	false	1
SPAC22F3.11c.1	chrI:683035-683101	chrI:683110-683159	+	false	4
